entry_time,exit_time,symbol,side,size,entry_price,exit_price,gross_pnl,commission,net_pnl,exit_reason,strategy,duration_seconds,signal_strength
2024-01-01 07:34:00,2024-01-01 06:34:00,UNKNOWN,short,0.02359909851443675,42374.5,42374.5,0.0,1.2,-1.2,Timeout,MeanReversion,52649675.130301,0.6066401948845664
2024-01-01 07:40:00,2024-01-01 06:40:00,UNKNOWN,short,0.02357882523294177,42403.3,42403.3,0.0,1.1997839999999997,-1.1997839999999997,Timeout,MeanReversion,52649315.131310225,0.601806981198575
2024-01-01 08:35:00,2024-01-01 07:35:00,UNKNOWN,short,0.023505566532950207,42527.8,42527.8,0.0,1.1995680388799999,-1.1995680388799999,Timeout,MeanReversion,52646015.13996148,0.666352445957472
2024-01-01 08:40:00,2024-01-01 07:40:00,UNKNOWN,short,0.02351416310691473,42504.6,42504.6,0.0,1.1993521166330012,-1.1993521166330012,Timeout,MeanReversion,52645715.14096761,0.6661831042064047
2024-01-01 09:01:00,2024-01-01 08:01:00,UNKNOWN,short,0.023474418986083097,42568.9,42568.9,0.0,1.1991362332520072,-1.1991362332520072,Timeout,MeanReversion,52644455.14496875,0.8037978727034926
2024-01-01 09:24:00,2024-01-01 08:24:00,UNKNOWN,short,0.023479846114151003,42551.4,42551.4,0.0,1.198920388730022,-1.198920388730022,Timeout,MeanReversion,52643075.14832163,0.6844201885755163
2024-01-01 09:48:00,2024-01-01 08:48:00,UNKNOWN,short,0.023457978599251715,42583.4,42583.4,0.0,1.1987045830600505,-1.1987045830600505,Timeout,MeanReversion,52641635.151840925,0.7948894156318516
2024-01-01 09:59:00,2024-01-01 08:59:00,UNKNOWN,short,0.02344676344068862,42596.1,42596.1,0.0,1.1984888162350997,-1.1984888162350997,Timeout,MeanReversion,52640975.15735364,0.618992529681817
2024-01-01 10:01:00,2024-01-01 09:01:00,UNKNOWN,short,0.02343330087540349,42612.9,42612.9,0.0,1.1982730882481776,-1.1982730882481776,Timeout,MeanReversion,52640855.16287017,0.6701254323459347
2024-01-01 10:23:00,2024-01-01 09:23:00,UNKNOWN,short,0.023396579167892936,42672.1,42672.1,0.0,1.198057399092293,-1.198057399092293,Timeout,MeanReversion,52639535.169890404,0.7480355316801477
2024-01-01 11:04:00,2024-01-01 10:04:00,UNKNOWN,short,0.023381847292080125,42691.3,42691.3,0.0,1.1978417487604562,-1.1978417487604562,Timeout,MeanReversion,52637075.17691612,0.6281008735356443
2024-01-01 11:08:00,2024-01-01 10:08:00,UNKNOWN,short,0.023361167495401982,42721.4,42721.4,0.0,1.1976261372456793,-1.1976261372456793,Timeout,MeanReversion,52636835.17892361,0.6141696218223944
2024-01-01 11:43:00,2024-01-01 10:43:00,UNKNOWN,short,0.023343411510671812,42746.2,42746.2,0.0,1.197410564540975,-1.197410564540975,Timeout,MeanReversion,52634735.18643856,0.6765231866546978
2024-01-01 11:44:00,2024-01-01 10:44:00,UNKNOWN,short,0.02333195022235522,42759.5,42759.5,0.0,1.1971950306393575,-1.1971950306393575,Timeout,MeanReversion,52634675.18744826,0.6609382452560423
2024-01-01 12:04:00,2024-01-01 11:04:00,UNKNOWN,short,0.023307854619081275,42796.0,42796.0,0.0,1.1969795355338426,-1.1969795355338426,Timeout,MeanReversion,52633475.192961454,0.6528633628200405
2024-01-01 12:06:00,2024-01-01 11:06:00,UNKNOWN,short,0.023297507652850612,42807.3,42807.3,0.0,1.1967640792174463,-1.1967640792174463,Timeout,MeanReversion,52633355.19396138,0.7987209766309963
2024-01-01 12:32:00,2024-01-01 11:32:00,UNKNOWN,long,0.023367279672664137,42671.8,42671.8,0.0,1.1965486616831873,-1.1965486616831873,Timeout,MeanReversion,52631795.20098877,0.6403349410348603
2024-01-01 13:01:00,2024-01-01 12:01:00,UNKNOWN,short,0.02330283932852144,42782.1,42782.1,0.0,1.1963332829240845,-1.1963332829240845,Timeout,MeanReversion,52630055.20498729,0.7457540460097306
2024-01-01 13:43:00,2024-01-01 12:43:00,UNKNOWN,short,0.023288900758044358,42800.0,42800.0,0.0,1.196117942933158,-1.196117942933158,Timeout,MeanReversion,52627535.21101451,0.6029246422185438
2024-01-01 13:45:00,2024-01-01 12:45:00,UNKNOWN,short,0.02329276326283057,42785.2,42785.2,0.0,1.1959026417034302,-1.1959026417034302,Timeout,MeanReversion,52627415.21301484,0.6205862579829561
2024-01-01 14:26:00,2024-01-01 13:26:00,UNKNOWN,long,0.023317673239989962,42731.8,42731.8,0.0,1.1956873792279237,-1.1956873792279237,Timeout,MeanReversion,52624955.22604847,0.6355889537459801
2024-01-01 14:27:00,2024-01-01 13:27:00,UNKNOWN,short,0.02329510461118703,42765.5,42765.5,0.0,1.1954721554996626,-1.1954721554996626,Timeout,MeanReversion,52624895.227564335,0.6535765709049276
2024-01-01 14:37:00,2024-01-01 13:37:00,UNKNOWN,long,0.023301372877334265,42746.3,42746.3,0.0,1.1952569705116725,-1.1952569705116725,Timeout,MeanReversion,52624295.23007083,0.6047913642299744
2024-01-01 14:43:00,2024-01-01 13:43:00,UNKNOWN,short,0.023286392420183676,42766.1,42766.1,0.0,1.1950418242569802,-1.1950418242569802,Timeout,MeanReversion,52623935.23207688,0.6031557066557357
2024-01-01 15:01:00,2024-01-01 14:01:00,UNKNOWN,long,0.02332364952546793,42690.1,42690.1,0.0,1.194826716728614,-1.194826716728614,Timeout,MeanReversion,52622855.23508024,0.6859702424260412
2024-01-01 15:19:00,2024-01-01 14:19:00,UNKNOWN,long,0.023314317652423783,42699.5,42699.5,0.0,1.1946116479196032,-1.1946116479196032,Timeout,MeanReversion,52621775.23774433,0.6493748911514398
2024-01-01 16:22:00,2024-01-01 15:22:00,UNKNOWN,short,0.02328748777175268,42741.0,42741.0,0.0,1.1943966178229775,-1.1943966178229775,Timeout,MeanReversion,52617995.24626422,0.6939732651360936
2024-01-01 16:25:00,2024-01-01 15:25:00,UNKNOWN,short,0.0232718074032802,42762.1,42762.1,0.0,1.1941816264317697,-1.1941816264317697,Timeout,MeanReversion,52617815.247584105,0.7574156355834766
2024-01-01 16:26:00,2024-01-01 15:26:00,UNKNOWN,short,0.023285043286017194,42730.1,42730.1,0.0,1.193966673739012,-1.193966673739012,Timeout,MeanReversion,52617755.247584105,0.649920481589624
2024-01-01 16:56:00,2024-01-01 15:56:00,UNKNOWN,short,0.023218038989088346,42845.7,42845.7,0.0,1.1937517597377387,-1.1937517597377387,Timeout,MeanReversion,52615955.25209594,0.6013218923230349
2024-01-01 17:35:00,2024-01-01 16:35:00,UNKNOWN,long,0.02324766312052856,42783.4,42783.4,0.0,1.193536884420986,-1.193536884420986,Timeout,MeanReversion,52613615.257605314,0.6022472455865385
2024-01-01 18:07:00,2024-01-01 17:07:00,UNKNOWN,short,0.023221604854745358,42823.7,42823.7,0.0,1.1933220477817903,-1.1933220477817903,Timeout,MeanReversion,52611695.26211643,0.9336604311670372
2024-01-01 18:28:00,2024-01-01 17:28:00,UNKNOWN,long,0.023240055198704864,42782.0,42782.0,0.0,1.1931072498131896,-1.1931072498131896,Timeout,MeanReversion,52610435.26511717,0.6041158097818284
2024-01-01 18:31:00,2024-01-01 17:31:00,UNKNOWN,long,0.023239511480305678,42775.3,42775.3,0.0,1.1928924905082234,-1.1928924905082234,Timeout,MeanReversion,52610255.26611781,0.6342152326583137
2024-01-01 19:07:00,2024-01-01 18:07:00,UNKNOWN,short,0.023087547510864184,43049.1,43049.1,0.0,1.192677769859932,-1.192677769859932,Timeout,MeanReversion,52608095.270159245,0.7851572738444289
2024-01-01 19:09:00,2024-01-01 18:09:00,UNKNOWN,short,0.023080442969728308,43054.6,43054.6,0.0,1.1924630878613571,-1.1924630878613571,Timeout,MeanReversion,52607975.27115679,0.6298363772848834
2024-01-01 20:16:00,2024-01-01 19:16:00,UNKNOWN,short,0.02300176112990629,43194.1,43194.1,0.0,1.1922484445055421,-1.1922484445055421,Timeout,MeanReversion,52603955.27984285,0.6056851289957538
2024-01-01 20:30:00,2024-01-01 19:30:00,UNKNOWN,short,0.022942858502503844,43297.2,43297.2,0.0,1.192033839785531,-1.192033839785531,Timeout,MeanReversion,52603115.28184986,0.6715328313611644
2024-01-01 20:34:00,2024-01-01 19:34:00,UNKNOWN,short,0.022878068922847175,43412.0,43412.0,0.0,1.1918192736943698,-1.1918192736943698,Timeout,MeanReversion,52602875.2828486,0.6516263885216986
2024-01-01 21:13:00,2024-01-01 20:13:00,UNKNOWN,short,0.022683234465303407,43777.0,43777.0,0.0,1.1916047462251047,-1.1916047462251047,Timeout,MeanReversion,52600535.288363695,0.664211964665361
2024-01-01 22:30:00,2024-01-01 21:30:00,UNKNOWN,long,0.02272857836617661,43681.8,43681.8,0.0,1.1913902573707842,-1.1913902573707842,Timeout,MeanReversion,52595915.2983892,0.755109432161468
2024-01-01 22:52:00,2024-01-01 21:52:00,UNKNOWN,long,0.022746201450891446,43640.1,43640.1,0.0,1.1911758071244571,-1.1911758071244571,Timeout,MeanReversion,52594595.30290079,0.6214287912006775
2024-01-01 23:26:00,2024-01-01 22:26:00,UNKNOWN,long,0.022811419400470705,43507.5,43507.5,0.0,1.190961395479175,-1.190961395479175,Timeout,MeanReversion,52592555.30842018,0.6162857218127131
2024-01-01 23:38:00,2024-01-01 22:38:00,UNKNOWN,short,0.022769370935214715,43580.0,43580.0,0.0,1.1907470224279886,-1.1907470224279886,Timeout,MeanReversion,52591835.30992603,0.665613883330168
2024-01-01 23:47:00,2024-01-01 22:47:00,UNKNOWN,long,0.022777188921769376,43557.2,43557.2,0.0,1.1905326879639515,-1.1905326879639515,Timeout,MeanReversion,52591295.31193447,0.6941072977653931
